id,user_id,content,images,videos,community_id,likes,comments,shares,views,created_at,updated_at
31772573-29f9-4f81-bb6a-899b30056e90,f3dedf79-5c5e-40fd-9513-d0fb0995d429,1,"[]","[]",,0,0,0,0,"""2026-03-03T06:39:31.430Z""","""2026-03-03T06:39:31.430Z"""
11c8fbe8-7f90-44a1-aef7-a565d55fd0d3,f3dedf79-5c5e-40fd-9513-d0fb0995d429,cs,"[]","[]",,0,0,0,0,"""2026-03-03T06:49:03.485Z""","""2026-03-03T06:49:03.485Z"""
0505110b-0e5f-4880-beb7-befbe05c6a9e,f3dedf79-5c5e-40fd-9513-d0fb0995d429,1,"[]","[]",,0,0,0,0,"""2026-03-03T07:08:16.994Z""","""2026-03-03T07:08:16.994Z"""
41c4dec9-795f-4125-9c4d-0c123ba4caa7,f3dedf79-5c5e-40fd-9513-d0fb0995d429,1,"[]","[]",,0,0,0,0,"""2026-03-03T07:08:26.177Z""","""2026-03-03T07:08:26.177Z"""
936e73c5-83fe-4c5c-94b3-1603adc25aca,f3dedf79-5c5e-40fd-9513-d0fb0995d429,@开心,"[]","[]",,0,0,0,0,"""2026-03-03T09:58:17.686Z""","""2026-03-03T09:58:17.686Z"""
14f47090-7904-4892-a7b8-ea3c4ed70a68,f3dedf79-5c5e-40fd-9513-d0fb0995d429,,"[""blob:http://localhost:3005/478a8d39-af85-4328-8f9f-5f860d1b4392""]","[]",,0,0,0,0,"""2026-03-03T10:00:46.636Z""","""2026-03-03T10:00:46.636Z"""
7d9a1387-bcd1-4e8e-974b-fab827c7b86c,f3dedf79-5c5e-40fd-9513-d0fb0995d429,#海河,"[]","[]",,0,0,0,0,"""2026-03-03T10:02:57.796Z""","""2026-03-03T10:02:57.796Z"""
a06069d2-f743-46e3-bdfa-7bcf1c363dc2,f3dedf79-5c5e-40fd-9513-d0fb0995d429,1,"[]","[]",,0,0,0,0,"""2026-03-03T10:16:47.486Z""","""2026-03-03T10:16:47.486Z"""
2f5469fb-3e37-446a-8f7e-7e5c78da62d9,f3dedf79-5c5e-40fd-9513-d0fb0995d429,1,"[]","[]",,0,0,0,0,"""2026-03-03T10:18:17.250Z""","""2026-03-03T10:18:17.250Z"""
3b08ae79-0a50-4e11-b216-8801ed55a223,f3dedf79-5c5e-40fd-9513-d0fb0995d429,@开心,"[]","[]",,0,0,0,0,"""2026-03-03T10:23:12.676Z""","""2026-03-03T10:23:12.676Z"""
ab79ae4a-d9a3-4781-99ff-b2b68713fff1,f3dedf79-5c5e-40fd-9513-d0fb0995d429,@开心,"[]","[]",,0,0,0,0,"""2026-03-03T10:26:29.937Z""","""2026-03-03T10:26:29.937Z"""
e6db2a73-9556-456b-9f5e-ecffc1fa440f,f3dedf79-5c5e-40fd-9513-d0fb0995d429,@开心,"[]","[]",,0,0,0,0,"""2026-03-03T10:28:52.043Z""","""2026-03-03T10:28:52.043Z"""