id,user_id,device_type,device_name,user_agent,ip_address,first_seen_at,last_seen_at,created_at,updated_at
d8837494-1ce0-4c25-a792-b37210ea6c72,78340927-c853-4978-a90f-f54d7c6883d2,desktop,桌面端,,,"""1970-01-21T11:50:44.084Z""","""2026-02-27T10:00:12.652Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""
4890a4c6-714a-4d4f-80b6-63d00b29edc1,16781e4a-3941-476f-855e-f5e9f9de8576,desktop,桌面端,,,"""1970-01-21T11:51:33.870Z""","""2026-02-27T10:00:12.653Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""
62b2d936-4931-4926-ba3c-c8a8c635b354,d0f6c86d-27ad-416f-a57a-992948c1a2a7,desktop,桌面端,,,"""2026-02-20T13:07:27.323Z""","""2026-02-27T10:00:12.653Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""
8f2f3405-c642-426a-9972-e68cbf253829,45713305-2bc4-48ad-8733-265a379be671,mobile,移动端,,,"""2026-02-20T13:13:39.096Z""","""2026-02-27T10:00:12.653Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""
22123ae9-5895-499f-bc2b-7fd41aa9ba42,44b4e1e2-1e70-4f44-a97f-053cd16cfd06,mobile,移动端,,,"""2026-02-21T00:48:00.524Z""","""2026-02-27T10:00:12.653Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""
341a97b0-325b-4842-9af6-16e52152f8bb,00e1a36a-a77b-4bcc-b604-c5655a4ce802,mobile,移动端,,,"""1970-01-21T11:50:43.971Z""","""2026-02-27T10:00:12.653Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""
8f2e3538-dd0c-4cc9-a48e-997dd0381f69,f3dedf79-5c5e-40fd-9513-d0fb0995d429,mobile,移动端,,,"""1970-01-21T11:50:45.346Z""","""2026-02-27T10:00:12.653Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""
dfc152ef-7c78-4579-80be-37f22b24666c,06dbee08-83b6-4d14-a5c1-d0794c8a168e,desktop,桌面端,,,"""1970-01-21T11:50:43.680Z""","""2026-02-27T10:00:12.653Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""
2bd4c66e-81b4-4468-88eb-956a78fe3115,2689ba70-b3b9-4425-b01a-fab003b29072,mobile,移动端,,,"""2026-02-26T05:56:30.175Z""","""2026-02-27T10:00:12.653Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""
fa4be13b-1e50-4931-8cdb-9ce40b4e38e8,478c134c-c5c2-4c01-827b-d142352d4873,mobile,移动端,,,"""1970-01-21T11:51:26.131Z""","""2026-02-27T10:00:12.653Z""","""2026-02-27T10:00:14.165Z""","""2026-02-27T10:00:14.165Z"""