user_id,work_id,created_at
f3dedf79-5c5e-40fd-9513-d0fb0995d429,88f4150c-c72a-462a-bbef-a18c683ce299,"""2026-02-18T02:22:47.729Z"""
f3dedf79-5c5e-40fd-9513-d0fb0995d429,b3603cf0-f046-4751-bc74-5358d79381a9,"""2026-02-20T07:40:02.207Z"""
f3dedf79-5c5e-40fd-9513-d0fb0995d429,736680db-1178-4de5-b7bc-f937a7bc1821,"""2026-02-22T07:23:43.729Z"""
f3dedf79-5c5e-40fd-9513-d0fb0995d429,3eb5baba-2dcb-44e6-b342-6957dcb83c26,"""2026-02-22T12:42:18.558Z"""
00e1a36a-a77b-4bcc-b604-c5655a4ce802,d265d441-1910-4b87-a005-ccd6557b4775,"""2026-02-22T12:42:35.752Z"""
00e1a36a-a77b-4bcc-b604-c5655a4ce802,b3603cf0-f046-4751-bc74-5358d79381a9,"""2026-02-24T12:44:09.268Z"""
00e1a36a-a77b-4bcc-b604-c5655a4ce802,d5c1df3f-3768-48ba-b7e5-5f6c90f3539c,"""2026-02-24T12:44:13.390Z"""
f3dedf79-5c5e-40fd-9513-d0fb0995d429,bd064ca2-79f7-4ca5-9ad2-4c36b17b1489,"""2026-02-24T14:09:30.458Z"""
00e1a36a-a77b-4bcc-b604-c5655a4ce802,a2e757ed-2ea3-40dc-b51a-b71f51246762,"""2026-02-24T14:22:00.670Z"""
478c134c-c5c2-4c01-827b-d142352d4873,6808c7e5-d484-4ba9-b206-5b841d716930,"""2026-02-25T06:55:31.866Z"""
478c134c-c5c2-4c01-827b-d142352d4873,bd064ca2-79f7-4ca5-9ad2-4c36b17b1489,"""2026-02-25T07:04:30.311Z"""
478c134c-c5c2-4c01-827b-d142352d4873,3eb5baba-2dcb-44e6-b342-6957dcb83c26,"""2026-02-25T07:28:57.105Z"""
478c134c-c5c2-4c01-827b-d142352d4873,736680db-1178-4de5-b7bc-f937a7bc1821,"""2026-02-25T07:55:55.004Z"""
478c134c-c5c2-4c01-827b-d142352d4873,69153c64-9afc-42ea-b0c9-57cd6e625bd9,"""2026-02-25T08:08:53.471Z"""
478c134c-c5c2-4c01-827b-d142352d4873,a64148f7-2ab8-4333-9b6c-3e64aea6cf01,"""2026-02-25T09:24:06.447Z"""
478c134c-c5c2-4c01-827b-d142352d4873,4345df09-6927-40c6-b715-321204d64507,"""2026-02-25T09:58:03.991Z"""
2689ba70-b3b9-4425-b01a-fab003b29072,bd064ca2-79f7-4ca5-9ad2-4c36b17b1489,"""2026-02-26T06:35:12.266Z"""
2689ba70-b3b9-4425-b01a-fab003b29072,3583ca0a-ad41-45c5-9401-9b8fbc6f7a03,"""2026-02-26T06:36:28.694Z"""
00e1a36a-a77b-4bcc-b604-c5655a4ce802,32e023c3-ebef-4296-b862-d669be8e2b5c,"""2026-03-04T07:46:10.685Z"""